post_id,title,category,score,num_comments,author,collected_at
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,63,33,babawere,2026-04-15 00:04:00
47745261,Vegetative Patients May Be More Aware Than We Knew,worldnews,35,13,bookofjoe,2026-04-15 00:04:00
47745230,Sam Altman's home targeted in second attack,worldnews,153,362,babelfish,2026-04-15 00:04:00
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,392,367,chabons,2026-04-15 00:04:00
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,120,36,pruz,2026-04-15 00:04:00
47736071,The Universal Standard Book Number,entertainment,13,4,novalis78,2026-04-15 00:04:00
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,147,158,latchkey,2026-04-15 00:04:00
47759281,NASA Moon Base User's Guide [pdf],science,6,1,sethbannon,2026-04-15 00:05:00
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,62,12,rvitorper,2026-04-15 00:05:00
47729994,Polymarket gamblers betting millions on war,worldnews,159,129,sandebert,2026-04-15 00:05:00
47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-15 00:05:00
47723243,Combining spicy foods with mint boosts anti-inflammatory effects 100x or more,sports,87,50,joeax,2026-04-15 00:05:00
47704430,Can It Resolve Doom? Game Engine in 2k DNS Records,sports,10,2,choult,2026-04-15 00:05:00
47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,262,69,tlhunter,2026-04-15 00:06:00
47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,76,39,breve,2026-04-15 00:06:00
47717514,"Inflation Rose to 3.3% in March, Driven by Rising Fuel Costs",sports,63,3,JumpCrisscross,2026-04-15 00:06:00
